key,value,os_process,pid,name,status,create_time,cpu_usage,cpu_cores,memory,user,device,mountpoint,filesystem,usage_total,usage_used,usage_free,usage_percent,gpu_id,gpu_name,gpu_usage,gpu_free,gpu_used,gpu_total,gpu_temp,if_name,if_address,if_netmask,if_broadcast
node,LPT-Dragback,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_system,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_rel,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_ver,10.0.18362,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_bootTime,1618746155.528635,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_started,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_total,25410252800,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_avail,19765268480,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_used,5644984320,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_perc,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Stotal,29168349184,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sfree,22463979520,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sused,6704369664,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sperc,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_read,42020058624,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_write,42358380544,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_machine,AMD64,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_name,"Intel64 Family 6 Model 60 Stepping 3, GenuineIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_realCores,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_logiCores,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqMax,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqCur,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_usage,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_sent,567174,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_rec,10654978,,,,,,,,,,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2436,svchost.exe,running,2021-04-18 13:43:09.049768,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2504,svchost.exe,running,2021-04-18 13:43:09.088518,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2512,svchost.exe,running,2021-04-18 13:43:09.091845,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc NVDisplay.Container.exe,,False,2564,NVDisplay.Container.exe,running,2021-04-18 13:43:09.134621,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2624,svchost.exe,running,2021-04-18 13:43:09.181807,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc HxTsr.exe,,False,2660,HxTsr.exe,stopped,2021-04-22 07:30:49.059594,0.0,8,5963776,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc dasHost.exe,,False,2696,dasHost.exe,running,2021-04-18 13:43:09.208771,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc wsc_proxy.exe,,False,2704,wsc_proxy.exe,running,2021-04-18 13:43:09.211456,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc TrayApplication.exe,,False,2712,TrayApplication.exe,running,2021-04-22 07:30:04.943541,0.0,8,1077248,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2716,svchost.exe,running,2021-04-18 13:43:09.215626,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2724,svchost.exe,running,2021-04-18 13:43:09.216479,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2740,svchost.exe,running,2021-04-18 13:43:09.221922,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc WUDFHost.exe,,False,2796,WUDFHost.exe,running,2021-04-18 13:43:09.238022,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2804,svchost.exe,running,2021-04-18 13:43:09.241810,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc MemCompression,,False,2920,MemCompression,running,2021-04-18 13:43:09.299246,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
